iter	RMSE
283	3.531536043
284	3.526763032
285	3.525507518
286	3.524446219
287	3.520378021
288	3.511428144
289	3.508029392
290	3.507231771
291	3.505781025
292	3.500566342
293	3.497184504
294	3.496323068
295	3.493892339
296	3.489600323
297	3.487238346
298	3.486552927
299	3.481332113
300	3.480138874
301	3.476540313
302	3.470131367
303	3.459812726
304	3.457820324
305	3.455997731
306	3.455414375
307	3.45225751
308	3.445797806
309	3.442025524
310	3.43698129
311	3.436265033
312	3.435491258
313	3.434029306
314	3.429549189
315	3.426598961
316	3.422500274
317	3.41937312
318	3.415397117
319	3.41430521
320	3.413309744
321	3.407111096
322	3.399481996
323	3.398974583
324	3.392746088
325	3.383215965
326	3.377496652
327	3.376033298
328	3.36689667
329	3.363583654
330	3.358311311
331	3.354996407
332	3.345874056
333	3.344820565
334	3.335487401
335	3.326793554
336	3.320392584
337	3.313493043
338	3.312980195
339	3.306956701
340	3.306241092
341	3.302818183
342	3.29659398
343	3.288981981
344	3.281726096
345	3.280440827
346	3.277392736
347	3.275831221
348	3.272913901
349	3.271216994
350	3.263565661
351	3.258114051
352	3.25752061
353	3.25059867
354	3.248778473
355	3.243065096
356	3.239762334
357	3.238608658
358	3.230821038
359	3.223288012
360	3.217686857
361	3.210743493
362	3.205093934
363	3.200012992
364	3.197420264
365	3.195270262
366	3.191478912
367	3.186791706
368	3.185957576
369	3.182648822
370	3.176101649
371	3.172431206
372	3.166868879
373	3.163439489
374	3.159783059
375	3.153811458
376	3.148622716
377	3.141460774
378	3.13457895
379	3.129528662
380	3.123308117
381	3.116438168
382	3.116057958
383	3.109842557
384	3.103750729
385	3.095376843
386	3.094741896
387	3.087184194
388	3.080683799
389	3.079759898
390	3.075170209
391	3.074162803
392	3.066753434
393	3.0610493
394	3.054376345
395	3.049156814
396	3.048639034
397	3.040822043
398	3.039178965
399	3.032225667
400	3.02747435
401	3.022283528
402	3.016448446
403	3.010749027
404	3.001979105
405	2.998043687
406	2.994334816
407	2.987291969
408	2.981305611
409	2.977778174
410	2.975487831
411	2.972961353
412	2.967251567
413	2.963894499
414	2.961465034
415	2.956606733
416	2.955850617
417	2.955171243
418	2.954493889
419	2.948304387
420	2.946926633
421	2.942636297
422	2.939881718
423	2.933641492
424	2.929808598
425	2.928025461
426	2.925529117
427	2.923255406
428	2.916803491
429	2.911241545
430	2.905181155
431	2.901071385
432	2.894056887
433	2.892584994
434	2.887496145
435	2.881779312
436	2.875261959
437	2.87482161
438	2.870929751
439	2.866231063
440	2.864190503
441	2.861444356
442	2.858380834
443	2.855570825
444	2.848758526
445	2.842298228
446	2.837813193
447	2.828730171
448	2.825832132
449	2.820604529
450	2.816594388
451	2.813506934
452	2.810724701
453	2.806153351
454	2.805502432
455	2.799547054
456	2.79655776
457	2.795263168
458	2.789815854
459	2.782248806
460	2.781699702
461	2.777870423
462	2.772652134
463	2.765286765
464	2.760512259
465	2.75598424
466	2.751543258
467	2.745541593
468	2.739362684
469	2.739075262
470	2.734012305
471	2.728924214
472	2.724554785
473	2.72031841
474	2.718264148
475	2.713608616
476	2.707348242
477	2.703980552
478	2.697720607
479	2.688123414
480	2.683406189
481	2.681763055
482	2.676419583
483	2.675751469
484	2.675421378
485	2.67013751
486	2.669859417
487	2.664859403
488	2.663900561
489	2.659008161
490	2.653984949
491	2.649803004
492	2.644792486
493	2.639559661
494	2.634778877
495	2.629703639
496	2.625748858
497	2.621040337
498	2.615600708
499	2.608034636
500	2.607727476
501	2.603414007
502	2.602993588
503	2.598828262
504	2.594880551
505	2.589857496
506	2.584752964
507	2.583864525
508	2.579378135
509	2.577270592
510	2.570666825
511	2.566148297
512	2.563408435
513	2.56181907
514	2.557794698
515	2.555504668
516	2.552834096
517	2.547495035
518	2.546267992
519	2.544024326
520	2.542245123
521	2.539860125
522	2.532591828
523	2.529343282
524	2.522226809
525	2.519071953
526	2.515370372
527	2.511547946
528	2.502633038
529	2.49911999
530	2.495796987
531	2.494245883
532	2.491924858
533	2.487176396
534	2.483759281
535	2.477652636
536	2.474463736
537	2.470433923
538	2.469118368
539	2.468486798
540	2.463682695
541	2.462363105
542	2.457801314
543	2.453379151
544	2.451621043
545	2.446640123
546	2.444060446
547	2.437821769
548	2.432187012
549	2.430144226
550	2.425965276
551	2.422816049
552	2.417969185
553	2.41636296
554	2.415730832
555	2.412768251
556	2.40672508
557	2.399765859
558	2.39952811
559	2.393903337
560	2.388073657
561	2.383772317
562	2.380114584
563	2.376181022
564	2.375011833
565	2.372494141
566	2.368655063
567	2.364927984
568	2.358405701
569	2.353534569
570	2.350758985
571	2.349585296
572	2.343721307
573	2.341800279
574	2.341495898
575	2.337600351
576	2.335490579
577	2.331457366
578	2.327586776
579	2.325555551
580	2.322537801
581	2.319921939
582	2.317952787
583	2.315745656
584	2.308917965
585	2.304493021
586	2.300687175
587	2.296640696
588	2.293603805
589	2.288216503
590	2.283575931
591	2.280056748
592	2.279264386
593	2.274841775
594	2.270355094
595	2.267200582
596	2.263410193
597	2.260150455
598	2.257057018
599	2.251455785
600	2.245647968
601	2.243517637
602	2.23678956
603	2.234214074
604	2.23076782
605	2.226850056
606	2.225628953
607	2.224147299
608	2.218834796
609	2.218527802
610	2.21215308
611	2.209786244
612	2.206789573
613	2.201253584
614	2.197817354
615	2.193970179
616	2.193556947
617	2.190302682
618	2.18892077
619	2.185753491
620	2.183333198
621	2.182457792
622	2.178736858
623	2.175758122
624	2.173876967
625	2.173494412
626	2.172054954
627	2.169819564
628	2.164082027
629	2.163793892
630	2.161883793
631	2.158774074
632	2.156317893
633	2.153298858
634	2.152257305
635	2.148148988
636	2.14620906
637	2.140831861
638	2.138502956
639	2.135154725
640	2.131725078
641	2.127001749
642	2.124413378
643	2.121451969
644	2.120411018
645	2.118292364
646	2.114738969
647	2.1141342
648	2.111147423
649	2.107763342
650	2.103815512
651	2.100872883
652	2.09819601
653	2.095687643
654	2.091912612
655	2.091664946
656	2.090253738
657	2.086287121
658	2.083753209
659	2.081710888
660	2.077908515
661	2.075653577
662	2.070793231
663	2.068059307
664	2.064877203
665	2.061792126
666	2.058165115
667	2.056052288
668	2.055189706
669	2.054832428
670	2.051687904
671	2.047996185
672	2.047621864
673	2.043825185
674	2.042720459
675	2.039264264
676	2.03653596
677	2.035762328
678	2.035245962
679	2.031609416
680	2.030166644
681	2.028018318
682	2.024136888
683	2.020004793
684	2.019675497
685	2.014875934
686	2.010110405
687	2.008998424
688	2.00680055
689	2.005654576
690	2.000777764
691	1.999626584
692	1.995474047
693	1.989977004
694	1.98606529
695	1.984109986
696	1.982743929
697	1.979923068
698	1.975586892
699	1.970862896
700	1.967820429
701	1.96526066
702	1.961882358
703	1.960419503
704	1.960001716
705	1.957688969
706	1.952886826
707	1.949078886
708	1.948264852
709	1.946138137
710	1.940932615
711	1.938777457
712	1.935411274
713	1.932487679
714	1.930206262
715	1.929348859
716	1.925701665
717	1.922264705
718	1.917773936
719	1.913998079
720	1.913668628
721	1.908762998
722	1.907565959
723	1.904916821
724	1.901708006
725	1.898724547
726	1.895474525
727	1.892230882
728	1.89075361
729	1.889405164
730	1.88831476
731	1.885375466
732	1.882693342
733	1.879840601
734	1.876963082
735	1.876036662
736	1.872881032
737	1.871019692
738	1.869248414
739	1.865386387
740	1.862651569
741	1.862032171
742	1.861745171
743	1.860574751
744	1.859672547
745	1.856633275
746	1.853391047
747	1.853139081
748	1.848882634
749	1.848380584
750	1.846187419
751	1.844320733
752	1.842568577
753	1.840361828
754	1.838434368
755	1.83594048
756	1.832845293
757	1.830829514
758	1.82865627
759	1.828446313
760	1.828289256
761	1.826449853
762	1.824096464
763	1.820454505
764	1.82021878
765	1.820066162
766	1.819392206
767	1.815510129
768	1.815209343
769	1.812278263
770	1.810373138
771	1.807876211
772	1.805554392
773	1.802651758
774	1.798606883
775	1.79465464
776	1.793477709
777	1.79219386
778	1.789280645
779	1.787353998
780	1.785142451
781	1.782321115
782	1.781332991
783	1.777974712
784	1.775231279
785	1.77017897
786	1.767119333
787	1.765211781
788	1.76404981
789	1.763505642
790	1.762922435
791	1.762112481
792	1.76178092
793	1.759357322
794	1.755604967
795	1.751526935
796	1.747194462
797	1.74700463
798	1.746591096
799	1.745970164
800	1.743175478
801	1.742182459
802	1.741859737
803	1.741695608
804	1.740735392
805	1.74046266
806	1.73725955
807	1.733005467
808	1.73112315
809	1.727883736
810	1.725257624
811	1.725085846
812	1.724523307
813	1.722827802
814	1.721114338
815	1.720934083
816	1.719732486
817	1.718515044
818	1.717227589
819	1.715470503
820	1.713282314
821	1.709097841
822	1.707221135
823	1.704964495
824	1.702405876
825	1.70038202
826	1.698026744
827	1.695869943
828	1.694538718
829	1.692264681
830	1.689983181
831	1.687365526
832	1.685709899
833	1.683223252
834	1.678936798
835	1.674094531
836	1.671545417
837	1.671410253
838	1.66933995
839	1.668436125
840	1.668223407
841	1.665733348
842	1.66461458
843	1.661907918
844	1.661568026
845	1.658274343
846	1.6555149
847	1.653186713
848	1.650846945
849	1.648549632
850	1.646393001
851	1.64388883
852	1.642224323
853	1.639570683
854	1.639117535
855	1.636787089
856	1.635053852
857	1.632962773
858	1.631834085
859	1.629777689
860	1.629220393
861	1.62587453
862	1.624531525
863	1.6219539
864	1.617763905
865	1.615991897
866	1.612792325
867	1.609341974
868	1.605933053
869	1.601402039
870	1.598010041
871	1.594668189
872	1.592124937
873	1.590018487
874	1.587533698
875	1.585302503
876	1.58140492
877	1.578664085
878	1.576106645
879	1.574279237
880	1.572052078
881	1.57080645
882	1.569622224
883	1.567230461
884	1.565352782
885	1.563199286
886	1.561381495
887	1.560645239
888	1.559775263
889	1.557413789
890	1.556820591
891	1.554857561
892	1.552478493
893	1.550267477
894	1.548079815
895	1.546286194
896	1.546189118
897	1.544863906
898	1.543170501
899	1.542212823
900	1.539553106
901	1.534958992
902	1.532591717
903	1.530479475
904	1.526684282
905	1.524627686
906	1.523256376
907	1.520156621
908	1.519630586
909	1.519055757
910	1.518825171
911	1.517511333
912	1.516039987
913	1.513005795
914	1.512291219
915	1.5098892
916	1.506944042
917	1.504016843
918	1.50380405
919	1.501640644
920	1.500987152
921	1.498339164
922	1.494470377
923	1.493790922
924	1.491581291
925	1.488625738
926	1.486706931
927	1.483885394
928	1.481821952
929	1.480759029
930	1.480470989
931	1.478699637
932	1.476878862
933	1.475706612
934	1.475526702
935	1.474322518
936	1.471515973
937	1.468662177
938	1.466742569
939	1.465735454
940	1.464587713
941	1.463274279
942	1.463110713
943	1.462268774
944	1.458767727
945	1.45714704
946	1.455151598
947	1.454309981
948	1.45399172
949	1.452520953
950	1.450988061
951	1.450266985
952	1.450126526
953	1.449285294
954	1.449146736
955	1.447600278
956	1.447145684
957	1.444277032
958	1.442778379
959	1.442630323
960	1.442512375
961	1.440181638
962	1.437099048
963	1.436759259
964	1.435667178
965	1.435369952
966	1.43404886
967	1.433647962
968	1.430776711
969	1.429037356
970	1.42746367
971	1.425104851
972	1.422926585
973	1.421464653
974	1.41892508
975	1.417461901
976	1.417074913
977	1.41611919
978	1.414857779
979	1.414691687
980	1.412017598
981	1.411111808
982	1.410926771
983	1.409167112
984	1.407287593
985	1.406622369
986	1.404741289
987	1.401964816
988	1.399358738
989	1.398174963
990	1.397135863
991	1.395247327
992	1.394904222
993	1.393871648
994	1.392664172
995	1.392035324
996	1.390880073
997	1.389166599
998	1.387091974
999	1.385457346
